id,success,tokenNum,teamSize,country,categories,overallrating,offered_ownership,enddate,startdate,tokenName,tokenPrice,tokenType,platform,acceptingCurrency,softcap,hardcap,whitepaper,video,socialMedia
462,1,17000000,30,Belarus,Platform,3.5,0.68,"Thursday, 15 February, 2018","Wednesday, 1 November, 2017",ROCK,1 ETH = 300 ROCK,,Ethereum,ETH,,,,,
463,0,0,7,Romania,Cryptocurrency,1.9,,"Thursday, 30 November, 2017","Wednesday, 1 November, 2017",CSC,1 CSC = 0.05-0.08 USD,ERC20,Ethereum,ETH,0,1,1,0,0
464,1,100000000,12,France,"Education,Platform",3.5,,"Friday, 16 February, 2018","Thursday, 18 January, 2018",BCDT,"1 ETH = 13,000 BCDT",ERC20,Ethereum,ETH,1,1,1,1,3
465,0,0,0,Singapore,Cryptocurrency,1.5,0.7,"Monday, 29 January, 2018","Wednesday, 27 December, 2017",CHR,1 CHR = 0.65 - 1.85 USD,,Ethereum,"BTC, ETH, LTC, BCH",0,0,1,0,0
466,0,3000000,4,USA,"Banking,Cryptocurrency",1.4,,"Monday, 31 July, 2017","Friday, 14 July, 2017",CMP,,,,,0,1,1,1,0
467,1,,16,USA,"Smart Contract,Platform,Entertainment,Cryptocurrency,Casino & Gambling,Sports",4.6,0.5,"Monday, 21 May, 2018","Saturday, 24 March, 2018",XPST,1 ETH = 10000 XPST,ERC20,Ethereum,ETH,1,1,1,1,0
468,1,134000000,17,Slovenia,"Business services,Platform,Sports",3.3,0.67,"Friday, 8 December, 2017","Tuesday, 21 November, 2017",SPF,1 SPF = 0.12 USD,ERC20,Ethereum,ETH,,,,,
469,1,200,5,United States,"Cryptocurrency,Education,Health,Media",3,0.4,"Sunday, 1 April, 2018","Thursday, 1 March, 2018",TrueCoin,"1 ETH = 10,000 TrueCoin",ERC20,Ethereum,ETH,1,1,1,0,3
470,0,0,4,USA,"Platform,Cryptocurrency",1.3,0.6,"Thursday, 15 February, 2018","Friday, 1 December, 2017",,0.25 - 1.25 USD,,Ethereum,,0,0,1,0,0
471,0,1000000000,13,Switzerland,"Platform,Business services",1.8,0.24,"Sunday, 25 March, 2018","Monday, 26 February, 2018",SWSToken,,ERC20,Ethereum,"BTC, ETH",1,1,1,0,0
472,1,481500000,24,British Virgin Islands,Platform,2.8,0.6,"Monday, 26 March, 2018","Wednesday, 14 February, 2018",HKY,"1 ETH = 7,500 HKY",ERC20,Ethereum,"ETH, BTC, BCH, LTC",0,1,1,1,0
473,0,80000000,5,United Arab Emirates,Platform,2.5,,"Wednesday, 31 January, 2018","Monday, 1 January, 2018",WPX,1 ETH = 2000 WPX,ERC20,Ethereum,ETH,0,0,1,0,0
474,1,600000000,4,USA,"Cryptocurrency,Platform,Entertainment,Internet,Media",3.1,0.5,"Thursday, 8 February, 2018","Monday, 8 January, 2018",THETA,1 THETA = 0.15 USD,ERC20,Ethereum,ETH,0,1,1,1,0
475,1,20,6,UK,"Cryptocurrency,Investment",3.1,0.8,"Monday, 23 April, 2018","Monday, 26 March, 2018",SHARD,1 Shard = 0.00096 ETH,Scrypt,Scrypt,"BTC, ETH, LTC, XRP",1,1,1,1,3
476,0,1000000000,3,USA,"Platform,Cryptocurrency,Business services,Internet",2.6,,"Tuesday, 24 October, 2017","Friday, 25 August, 2017",CHX,1 CHX = 0.02 USD,ERC20,Ethereum,"ETH, BTC, Various",0,0,1,1,0
477,1,,4,Russia,"Cryptocurrency,Banking,Investment",2.5,,"Saturday, 30 September, 2017","Tuesday, 29 August, 2017",NIMFA,110 NIMFA = 1 ETH,ERC20,Ethereum,"BTC, ETH",0,0,1,1,0
478,1,,9,Austria,Business services,3.9,,"Friday, 16 February, 2018","Tuesday, 16 January, 2018",LNC,"1 ETH = 10,000  - 15,000 LNC",,Ethereum,ETH,0,1,1,1,0
479,0,9100000,5,Spain,"Platform,Banking,Investment",2.8,0.91,"Sunday, 17 December, 2017","Tuesday, 12 December, 2017",XDRAC,1 XDRAC = 0.00004 BTC,,Waves,,1,1,1,0,0
480,0,109923077,8,Gibraltar,"Health,Platform",2.7,,"Sunday, 25 February, 2018","Monday, 5 February, 2018",HER,1000 HER = 1ETH,,Ethereum,ETH,0,1,1,0,0
481,1,1.00E+11,25,USA,"Big Data,Infrastructure,Internet,Smart Contract",4.2,0.47,"Monday, 21 May, 2018","Tuesday, 20 March, 2018",XYO,"1 ETH = 100,000 XYO",ERC20,Ethereum,ETH,0,1,1,1,0
482,0,84000000,12,Russia,Business services,3.1,,"Saturday, 23 December, 2017","Wednesday, 1 November, 2017",DARF,"1 DARF = 0,0001 BTC",,Ethereum and Waves,"BTC, ETH, WAVES",0,1,1,1,2
483,0,8000000,18,Russia,"Art,Media",2.3,0.8,"Friday, 1 June, 2018","Monday, 19 March, 2018",AGAS,1 AGAS = 0.002 ETH,ERC20,Ethereum,ETH,0,1,1,0,0
484,0,85000000,7,USA,"Education,Internet,Platform,Entertainment",1.6,0.85,"Friday, 20 October, 2017","Monday, 18 September, 2017",EBK,2000 EBK = 1 ETH,,Ethereum,ETH,1,0,0,0,0
485,1,4453135,27,Norway,Investment,4.1,0.08,"Saturday, 19 May, 2018","Tuesday, 3 April, 2018",BULL,1 ETH = 250 BULL,ERC20,Ethereum,ETH,1,1,1,1,0
486,0,13000000,0,USA,"Investment,Cryptocurrency",2,0.65,"Saturday, 27 January, 2018","Wednesday, 27 December, 2017",NIL,,ERC20,Nilechain,"ETH, BTC",0,0,1,0,0
487,1,7000000,6,Russia,"Cryptocurrency,Platform,Business services,Retail",2.7,0.7,"Sunday, 24 December, 2017","Friday, 24 November, 2017",DGM,1 ETH = 155-200 DGM,ERC20,Ethereum,"BTC, ETH",1,1,1,0,0
488,1,,13,Germany,"Business services,Platform,Real estate",3.2,0.87,"Monday, 25 December, 2017","Saturday, 25 November, 2017",REA,,,Ethereum,ETH,1,0,1,1,0
489,1,50000000,16,Cyprus,"Platform,Other,Investment,Cryptocurrency,Business services,Big Data",4.3,0.5,"Thursday, 31 May, 2018","Tuesday, 1 May, 2018",JAN,1 JAN = 0.16 USD,ERC20,Ethereum,"BTC, XMR, ETH, LTC, Fiat",0,1,1,1,2
490,1,10000000,16,Israel,"Internet,Platform",3,0.8,"Thursday, 16 November, 2017","Thursday, 19 October, 2017",PRIX,1 ETH = 100 PRIX,,Ethereum,ETH,1,1,1,1,3
491,0,72000000,6,Russia,"Business services,Platform",2.7,0.72,"Monday, 30 October, 2017","Monday, 16 October, 2017",AFF,1000 AFF tokens = 1.42 ETH,,Ethereum,ETH,0,1,1,1,0
492,1,,22,Estonia,Banking,3.6,0.7,"Sunday, 14 January, 2018","Tuesday, 31 October, 2017",CRPT,1 CRPT = 0.0001 BTC,ERC20,Ethereum,"BTC, ETH, Fiat",1,1,1,1,3
493,1,63000000,8,USA,"Platform,Business services",2.3,,"Friday, 15 December, 2017","Wednesday, 15 November, 2017",HME,1 ETH = 3000 HME,,Ethereum,"ETH, BTC, BCC, DASH, LTC",1,0,1,0,0
494,0,0,5,Israel,Sports,1.9,,"Friday, 1 December, 2017","Wednesday, 1 November, 2017",INDIGO,1 ETH = 300 INDIGO,,Waves,"BTC, ETH, WAVES",0,1,1,0,0
495,1,500000000,15,USA,"Platform,Software",2.5,,"Thursday, 25 May, 2017","Friday, 19 May, 2017",STORJ,,,Ethereum,,0,0,1,1,3
496,0,1500000,9,Russia,"Manufacturing,Platform,Business services,Retail,Real estate",1.7,,"Monday, 15 January, 2018","Friday, 1 December, 2017",PLM,1 PLM = 10 USD,ERC20,Ethereum,ETH,0,0,1,1,0
497,0,0,4,USA,Investment,1.2,,"Thursday, 31 May, 2018","Thursday, 1 March, 2018",BAC,1 BAC = 0.01 ETH,ERC20,Ethereum,ETH,0,0,1,0,0
498,0,60000000,9,USA,"Software,Platform",2.4,0.51,"Thursday, 30 November, 2017","Wednesday, 1 November, 2017",RQX,1 ETH = 1200 RQX,,Ethereum,ETH,1,1,1,1,0
499,1,500000000,17,Belize,"Platform,Business services,Internet",3.1,0.77,"Tuesday, 15 May, 2018","Monday, 8 January, 2018",KRI,1KRI = 0.10 USD,ERC20,Ethereum,"ETH, BTC; Fiat",0,0,1,1,3
500,0,7500000,4,Gibraltar,"Platform,Casino & Gambling",2.1,0.75,"Sunday, 31 December, 2017","Monday, 18 December, 2017",FXN,1 FXN = 1 USD,ERC20,Ethereum,ETH,0,0,0,0,0
501,0,4000000,2,Nigeria,"Cryptocurrency,Investment,Smart Contract",2.2,0.4,"Tuesday, 15 May, 2018","Friday, 16 March, 2018",MAB,1 MAB = 1 USD,ERC20,Ethereum,ETH,0,0,1,1,0
502,0,120000000,13,Slovenia,Business services,2.7,0.8,"Tuesday, 17 October, 2017","Tuesday, 10 October, 2017",NTRY,1 NTRY = 0.11 USD,,Ethereum,"BTC, ETH",1,1,1,1,0
503,1,6000000000,34,Germany,"Investment,Artificial Intelligence,Banking,Cryptocurrency",3.6,0.6,"Friday, 9 March, 2018","Friday, 9 February, 2018",SVD,1 EUR = 100 SVD,ERC20,Ethereum,"EUR, USD, BTC, ETH",1,1,1,1,2
504,1,,8,Canada,"Platform,Business services,Software",3.8,,"Monday, 16 October, 2017","Sunday, 15 October, 2017",PPP,1 PPP = 0.0011 ETH,ERC20,Ethereum,ETH,0,0,1,1,2
505,0,38175000,6,Russia,"Platform,Business services",2.3,0.76,"Wednesday, 15 November, 2017","Sunday, 15 October, 2017",SIO,1 SIO = 0.01 ETH,ERC20,Ethereum,ETH,0,1,1,1,0
506,0,2000000000,0,Switzerland,"Cryptocurrency,Internet,Investment,Other,Platform",1.6,0.45,"Thursday, 12 April, 2018","Saturday, 3 March, 2018",HEL,1 ETH = 26000 HEL,ERC20,Ethereum,"ETH, BTC, LTC, NEO",1,1,1,0,0
507,1,650000000,21,Estonia,"Sports,Health",4.2,0.65,"Wednesday, 28 February, 2018","Saturday, 17 February, 2018",LYM,"1 ETH = 40,000 LYM",ERC20,Ethereum,ETH,0,0,1,1,2
508,0,500000000,0,USA,"Artificial Intelligence,Investment,Platform",1.7,0.5,"Thursday, 10 May, 2018","Monday, 23 April, 2018",MVI,1 ETH = 23000 MVI,ERC20,Ethereum,ETH,1,1,1,0,0
509,0,34020000,4,USA,Cryptocurrency,2,0.81,"Sunday, 15 April, 2018","Wednesday, 15 November, 2017",CEL,1 CEL = 0.10 USD,POW,,"BTC, ETH",0,0,1,1,0
510,1,500000000,16,South Korea,"Cryptocurrency,Business services",3.7,0.4,"Sunday, 31 December, 2017","Saturday, 25 November, 2017",LNC,0.103 USD = 1 LNC,,Ethereum,ETH,0,0,1,1,0
